,Año,Emision_CO2,Emisiones_CO2_percapita,Clave_Hash
26,1986,"179,683",2.868319392,51522
27,1987,"447,374",7.234964017,51522
28,1988,"612,389",10.026507523,51522
29,1989,"649,059",10.634732599,51522
30,1990,"1.840,83",29.620164768,51522
31,1991,"1.928,84",29.847608437,51522
32,1992,"1.723,49",25.258151975,51522
33,1993,"1.771,16",24.430480841,51522
34,1994,"1.763,83",22.996440678,51522
35,1995,"1.782,16",22.186614546,51522
36,1996,"1.800,50",21.641889537,51522
37,1997,"1.837,17",21.500661229,51522
38,1998,"1.712,49",19.621533984,51522
39,1999,"1.749,16",19.652588648,51522
40,2000,"2.321,21",25.547678795,51522
41,2001,"2.357,88",25.382489719,51522
42,2002,"2.372,55",24.975514501,51522
43,2003,"2.416,55",24.909065608,51522
44,2004,"2.420,22",24.510542626,51522
45,2005,"2.497,23",24.964530995,51522
46,2006,"2.497,23",24.766706337,51522
47,2007,"2.592,57",25.613714952,51522
48,2008,"2.508,23",24.750133212,51522
49,2009,"2.522,90",24.876705845,51522
50,2010,"2.456,89",24.182702245,51522
51,2011,"2.438,56",23.922412102,51522
87,1995,"407,037",6.374494942,51162
88,1996,"425,372",6.616353766,51162
89,1997,"458,375",7.145696603,51162
90,1998,"484,044",7.576446281,51162
91,1999,"513,38",8.001433893,51162
92,2000,"524,381",8.018180706,51162
93,2001,"524,381",7.73765678,51162
94,2002,"531,715",7.484094812,51162
95,2003,"535,382",7.159140446,51162
96,2004,"564,718",7.208828523,51162
97,2005,"575,719",7.088127747,51162
98,2006,"546,383",6.553476545,51162
99,2007,"539,049",6.350868305,51162
100,2008,"539,049",6.296124556,51162
101,2009,"517,047",6.049172848,51162
102,2010,"517,047",6.12477049,51162
103,2011,"491,378",5.96868547,51162
104,1960,"414,371",0.046067875,32893
105,1961,"491,378",0.053614943,32893
106,1962,"689,396",0.073781338,32893
107,1963,"707,731",0.074251368,32893
108,1964,"839,743",0.086316543,32893
109,1965,"1.008,43",0.101498607,32893
110,1966,"1.092,77",0.10767397,32893
111,1967,"1.283,45",0.123782381,32893
112,1968,"1.224,78",0.115547383,32893
113,1969,"942,419",0.086862817,32893
114,1970,"1.672,15",0.150358548,32893
115,1971,"1.895,84",0.166114846,32893
116,1972,"1.532,81",0.130820142,32893
117,1973,"1.639,15",0.136339954,32893
118,1974,"1.917,84",0.155725123,32893
119,1975,"2.126,86",0.169027082,32893
120,1976,"1.987,51",0.154895026,32893
121,1977,"2.390,88",0.183118308,32893
122,1978,"2.159,86",0.163346971,32893
123,1979,"2.240,54",0.168673488,32893
124,1980,"1.760,16",0.133230271,32893
125,1981,"1.983,85",0.152639744,32893
126,1982,"2.101,19",0.165879122,32893
127,1983,"2.522,90",0.205462699,32893
128,1984,"2.830,92",0.237642948,32893
129,1985,"3.509,32",0.301734199,32893
130,1986,"3.142,62",0.274729698,32893
131,1987,"3.124,28",0.275560305,32893
132,1988,"2.867,59",0.252079156,32893
133,1989,"2.775,92",0.239131208,32893
134,1990,"2.676,91",0.221826764,32893
135,1991,"2.493,56",0.194971232,32893
136,1992,"1.426,46",0.103775745,32893
137,1993,"1.375,13",0.092761103,32893
138,1994,"1.320,12",0.083183538,32893
139,1995,"1.268,78",0.075646465,32893
140,1996,"1.199,11",0.06859185,32893
141,1997,"1.114,77",0.061814349,32893
142,1998,"1.056,10",0.057050868,32893
143,1999,"832,409",0.043722588,32893
144,2000,"781,071",0.03964437,32893
145,2001,"645,392",0.031434756,32893
146,2002,"894,748",0.041641211,32893
147,2003,"1.037,76",0.046107612,32893
148,2004,"957,087",0.040727366,32893
149,2005,"1.338,46",0.05485483,32893
150,2006,"1.657,48",0.065815968,32893
151,2007,"2.280,87",0.088141054,32893
152,2008,"4.217,05",0.158961558,32893
153,2009,"6.776,62",0.24907353,32893
154,2010,"8.470,77",0.302936388,32893
155,2011,"12.251,45",0.425262105,32893
156,1960,"550,05",0.104357101,46393
157,1961,"454,708",0.084718406,46393
158,1962,"1.180,77",0.216025343,46393
159,1963,"1.151,44",0.206877061,46393
160,1964,"1.224,78",0.216174133,46393
161,1965,"1.188,11",0.206088959,46393
162,1966,"1.554,81",0.265164146,46393
163,1967,"993,757",0.166658589,46393
164,1968,"1.672,15",0.275655471,46393
165,1969,"2.786,92",0.451125604,46393
166,1970,"3.582,66",0.568588577,46393
167,1971,"3.410,31",0.529744961,46393
168,1972,"4.506,74",0.684120294,46393
169,1973,"4.880,78",0.723055043,46393
170,1974,"4.873,44",0.703873436,46393
171,1975,"4.415,07",0.621198891,46393
172,1976,"3.285,63",0.450116912,46393
173,1977,"3.534,99",0.471248794,46393
174,1978,"5.412,49",0.701359921,46393
175,1979,"5.504,17",0.692097154,46393
176,1980,"5.346,49",0.651061684,46393
177,1981,"5.280,48",0.621382804,46393
178,1982,"4.649,76",0.527930763,46393
179,1983,"5.115,47",0.560374447,46393
180,1984,"5.009,12",0.530351031,46393
181,1985,"4.701,09",0.482400531,46393
182,1986,"4.660,76",0.464973712,46393
183,1987,"5.815,86",0.565431153,46393
184,1988,"5.130,13",0.486503528,46393
185,1989,"5.009,12",0.462907837,46393
186,1990,"4.429,74",0.398075822,46393
187,1991,"4.367,40",0.380694834,46393
188,1992,"4.418,74",0.372921412,46393
189,1993,"5.801,19",0.473691138,46393
190,1994,"3.890,69",0.307601078,46393
191,1995,"11.012,00",0.844305988,46393
192,1996,"10.491,29",0.781484777,46393
193,1997,"7.381,67",0.5348313,46393
194,1998,"7.308,33",0.515117027,46393
195,1999,"9.156,50",0.627072296,46393
196,2000,"9.541,53",0.633625299,46393
197,2001,"9.732,22",0.625351712,46393
198,2002,"12.665,82",0.786223278,46393
199,2003,"9.064,82",0.543083667,46393
200,2004,"18.793,38",1.086604897,46393
201,2005,"19.156,41",1.069417185,46393
202,2006,"22.266,02",1.200877147,46393
203,2007,"25.151,95",1.311096483,46393
204,2008,"27.172,47",1.369424769,46393
205,2009,"29.361,67",1.430873373,46393
206,2010,"29.743,04",1.401654169,46393
207,2011,"29.710,03",1.35400753,46393
208,1960,"2.024,18",1.258194928,50884
209,1961,"2.280,87",1.374186047,50884
210,1962,"2.464,22",1.439955964,50884
211,1963,"2.082,86",1.181681144,50884
212,1964,"2.016,85",1.11174196,50884
213,1965,"2.174,53",1.166099043,50884
214,1966,"2.552,23",1.333055465,50884
215,1967,"2.680,58",1.3637463,50884
216,1968,"3.072,95",1.519551277,50884
217,1969,"3.245,30",1.558967572,50884
218,1970,"3.744,01",1.753239905,50884
219,1971,"4.352,73",1.989497923,50884
220,1972,"5.643,51",2.515914398,50884
221,1973,"5.291,48",2.303897417,50884
222,1974,"4.345,40",1.849006691,50884
223,1975,"4.594,75",1.910633637,50884
224,1976,"4.950,45",2.013584562,50884
225,1977,"5.720,52",2.275876391,50884
226,1978,"6.494,26",2.53062504,50884
227,1979,"7.587,02",2.898208518,50884
228,1980,"5.170,47",1.93505831,50884
229,1981,"7.341,33",2.693023914,50884
230,1982,"7.308,33",2.624856785,50884
231,1983,"7.631,03",2.683239919,50884
232,1984,"7.825,38",2.694291374,50884
233,1985,"7.880,38",2.658015382,50884
234,1986,"8.056,40",2.665356221,50884
235,1987,"7.444,01",2.414060815,50884
236,1988,"7.326,67",2.331598531,50884
237,1989,"8.984,15",2.783243075,50884
238,1990,"7.488,01",2.278386827,50884
239,1991,"3.971,36",1.215676857,50884
240,1992,"2.387,22",0.73519813,50884
241,1993,"2.343,21",0.726062789,50884
242,1994,"1.928,84",0.601346953,50884
243,1995,"2.086,52",0.654537133,50884
244,1996,"2.016,85",0.636625313,50884
245,1997,"1.543,81",0.49036506,50884
246,1998,"1.752,83",0.560271437,50884
247,1999,"2.984,94",0.960164412,50884
248,2000,"3.021,61",0.978174681,50884
249,2001,"3.223,29",1.053304176,50884
250,2002,"3.751,34",1.229540709,50884
251,2003,"4.294,06",1.412697196,50884
252,2004,"4.165,71",1.376212735,50884
253,2005,"4.253,72",1.412498211,50884
254,2006,"3.865,02",1.291547969,50884
255,2007,"4.477,41",1.507535815,50884
256,2008,"4.657,09",1.580113283,50884
257,2009,"4.488,41",1.533178094,50884
258,2010,"4.415,07",1.515632053,50884
259,2011,"4.668,09",1.60703771,50884
260,1960,"11,001",0.118785902,163369
261,1961,"11,001",0.108936971,163369
262,1962,"18,335",0.16335531,163369
263,1963,"22,002",0.175712369,163369
264,1964,"18,335",0.132650846,163369
265,1965,"22,002",0.146369696,163369
